date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:59	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/zendots-regular-webfont.eot?	./recovered-site/exp-gemini.lusion.co/assets/fonts/zendots-regular-webfontd41d.html	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:00	16664/16664	---M--	200	added ('OK')	font/woff2	etag:%227958b2e30804a98d2fb187eb1f21e268-ssl%22	https://exp-gemini.lusion.co/assets/fonts/zendots-regular-webfont.woff2	./recovered-site/exp-gemini.lusion.co/assets/fonts/zendots-regular-webfont.woff2	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:01	22420/22420	---MCZ	200	added ('OK')	application/font-woff	etag:%220177dd28e98c765f43f6cac1aa96ec9f-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/zendots-regular-webfont.woff	./recovered-site/exp-gemini.lusion.co/assets/fonts/zendots-regular-webfont.woff	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:03	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/zendots-regular-webfont.ttf	./recovered-site/exp-gemini.lusion.co/assets/fonts/zendots-regular-webfont.html	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:04	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/Aeonik-Regular.eot?	./recovered-site/exp-gemini.lusion.co/assets/fonts/Aeonik-Regulard41d.html	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:05	29088/29088	---M--	200	added ('OK')	font/woff2	etag:%22379258ab8357ec946b5f71a21602e803-ssl%22	https://exp-gemini.lusion.co/assets/fonts/Aeonik-Regular.woff2	./recovered-site/exp-gemini.lusion.co/assets/fonts/Aeonik-Regular.woff2	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:07	53948/53948	---MCZ	200	added ('OK')	application/font-woff	etag:%2203d872793f01b9e1824019c8c7e1fd92-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/Aeonik-Regular.woff	./recovered-site/exp-gemini.lusion.co/assets/fonts/Aeonik-Regular.woff	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:08	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/Aeonik-Regular.ttf	./recovered-site/exp-gemini.lusion.co/assets/fonts/Aeonik-Regular.html	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:09	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regular.eot?	./recovered-site/exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regulard41d.html	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:11	103092/103092	---M--	200	added ('OK')	font/woff2	etag:%22891e2cace93affecc10edf79fc3b343b-ssl%22	https://exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regular.woff2	./recovered-site/exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regular.woff2	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:12	65112/65112	---MCZ	200	added ('OK')	application/font-woff	etag:%2245f7d32a3e494c1ef24472c6bb26abed-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regular.woff	./recovered-site/exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regular.woff	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:13	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regular.ttf	./recovered-site/exp-gemini.lusion.co/assets/fonts/IBMPlexMono-Regular.html	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:15	91678/91678	---M--	200	added ('OK')	image/png	etag:%229bda147e7506a04789518ffcf11bbf63-ssl%22	https://exp-gemini.lusion.co/assets/images/background-preloader-dithered.png	./recovered-site/exp-gemini.lusion.co/assets/images/background-preloader-dithered.png	(from https://exp-gemini.lusion.co/assets/css/index.css)
00:28:16	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/favicon.ico	./recovered-site/exp-gemini.lusion.co/assets/fonts/favicon.html	(from https://exp-gemini.lusion.co/assets/fonts/daysone-regular-webfont.eot?)
00:28:17	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/assets/css/index.css	./recovered-site/exp-gemini.lusion.co/assets/fonts/assets/css/index.html	(from https://exp-gemini.lusion.co/assets/fonts/daysone-regular-webfont.eot?)
00:28:18	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/assets/js/gsap.min.js	./recovered-site/exp-gemini.lusion.co/assets/fonts/assets/js/gsap.min.html	(from https://exp-gemini.lusion.co/assets/fonts/daysone-regular-webfont.eot?)
00:28:20	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/assets/js/index.js	./recovered-site/exp-gemini.lusion.co/assets/fonts/assets/js/index.html	(from https://exp-gemini.lusion.co/assets/fonts/daysone-regular-webfont.eot?)
00:28:21	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/assets/css/favicon.ico	./recovered-site/exp-gemini.lusion.co/assets/fonts/assets/css/favicon.html	(from https://exp-gemini.lusion.co/assets/fonts/assets/css/index.css)
00:28:23	19340/19340	---MCZ	200	added ('OK')	text/html	etag:%22e4f7bdbcfd468f669e6de8efecd26f24-ssl-df%22	https://exp-gemini.lusion.co/assets/fonts/assets/css/assets/css/index.css	./recovered-site/exp-gemini.lusion.co/assets/fonts/assets/css/assets/css/index.html	(from https://exp-gemini.lusion.co/assets/fonts/assets/css/index.css)
